seed_id,name,r128,r64,r32,r16,qf,sf,f,win odds,diff
1,rafael nadal,0.6357,0.3563,0.2533,0.1733,0.093,0.0538,0.0227,0.058823529,-0.036123529
2,jack draper,0.3643,0.1609,0.0942,0.0521,0.0239,0.0103,0.0029,0.00990099,-0.00700099
3,brandon nakashima,0.5873,0.3052,0.2132,0.1433,0.0766,0.045,0.0179,0.003984064,0.013915936
4,mackenzie mcdonald,0.4127,0.1776,0.1085,0.0596,0.0278,0.0117,0.0035,0.001996008,0.001503992
5,jaume munar,1,0.4246,0.1221,0.0525,0.0157,0.0056,0.0005,0.000999001,-0.000499001
6,bye,0,0,0,0,0,0,0,0,0
7,mikael ymer,0.5609,0.3355,0.1303,0.0734,0.0325,0.0146,0.0032,0.001996008,0.001203992
8,yoshihito nishioka,0.4391,0.2399,0.0784,0.0382,0.014,0.0058,0.0016,0.003984064,-0.002384064
9,karen khachanov,0.7145,0.4384,0.2649,0.1297,0.0546,0.0243,0.0077,0.004975124,0.002724876
10,bernabe zapata miralles,0.2855,0.1084,0.0402,0.0112,0.0031,0.0008,0.0001,0.000999001,-0.000899001
11,sebastian baez,0.4473,0.1921,0.0907,0.0308,0.0088,0.0024,0.0006,0.001996008,-0.001396008
12,jason kubler,0.5527,0.2611,0.1347,0.0542,0.0183,0.0071,0.0017,0.000999001,0.000700999
13,oscar otte,0.4792,0.2415,0.1095,0.0433,0.0141,0.005,0.0008,0.003322259,-0.002522259
14,juncheng shang,0.5208,0.2693,0.1339,0.0523,0.0176,0.0052,0.0009,0.000999001,-9.9001E-05
15,daniel altmaier,0.4637,0.2113,0.0927,0.0327,0.0107,0.0034,0.0007,0.000999001,-0.000299001
16,frances tiafoe,0.5363,0.2779,0.1334,0.0534,0.0199,0.0078,0.0024,0.012345679,-0.009945679
17,hubert hurkacz,0.7591,0.5256,0.3301,0.1998,0.1286,0.076,0.0349,0.00990099,0.02499901
18,pedro martinez,0.2409,0.1055,0.0372,0.0107,0.0046,0.0016,0.0006,0.000999001,-0.000399001
19,lorenzo sonego,0.5751,0.2227,0.1006,0.0451,0.0216,0.0099,0.0026,0.001996008,0.000603992
20,nuno borges,0.4249,0.1462,0.0593,0.0198,0.0087,0.0037,0.0006,0.000999001,-0.000399001
21,ernesto escobedo,0.5675,0.2482,0.1066,0.0436,0.0209,0.0079,0.0023,0.000999001,0.001300999
